name                            ,codex ,nationality,gender
heumann niclas                  ,8143  ,GER        ,M
goller max                      ,7113  ,GER        ,M
wada tomokatsu                  ,6785  ,JPN        ,M
mabuchi tomoru                  ,7301  ,JPN        ,M
lundberg julia                  ,7506  ,SWE        ,F
rashitova adelya                ,6673  ,RUS        ,F
kvarstad simen                  ,219951,NOR        ,M
aslesen sindre trier            ,219613,NOR        ,M
hagen flemming dolonen          ,8398  ,NOR        ,M
langmo isak andreas             ,219702,NOR        ,M
myrvang sigurd                  ,219610,NOR        ,M
oestvold fabian                 ,8046  ,NOR        ,M
opsahl martin tonby             ,219618,NOR        ,M
haugeng simen meen              ,8030  ,NOR        ,M
nazarenko svyatoslav            ,219683,KAZ        ,M
klimov nikolay                  ,219679,KAZ        ,M
oyvindsson anton                ,8380  ,ISL        ,M
thorshov oeystein               ,8229  ,NOR        ,M
utby boerge hansen              ,219960,NOR        ,M
joergensen sindre ulven         ,8227  ,NOR        ,M
gran fredrik                    ,8242  ,NOR        ,M
buechel alina                   ,8284  ,LIE        ,F
koldovska tereza                ,7862  ,CZE        ,F
malacinski annika               ,219643,USA        ,F
istenic veronika                ,8340  ,SLO        ,F
jereb ana                       ,8130  ,SLO        ,F
takhtakhunov assan              ,4597  ,KAZ        ,M
aschenwald patrick              ,6922  ,AUT        ,M
sukhomeniuk roman               ,7045  ,UKR        ,M
oinas annamaija                 ,8192  ,FIN        ,F
tukhtaeva amina                 ,7580  ,KAZ        ,F
frischmann erik                 ,7023  ,GER        ,M
komaba shinya                   ,6572  ,JPN        ,M
watanabe tomoya                 ,5968  ,JPN        ,M
hitzinger kathrin               ,219764,GER        ,F
mihelcic zala                   ,219695,SLO        ,F
burger magdalena                ,8447  ,GER        ,F
krasovic nika                   ,8460  ,SLO        ,F
jesenko jerica                  ,8438  ,SLO        ,F
ystgaard oddvar                 ,5985  ,NOR        ,M
kykkaenen jere                  ,5116  ,FIN        ,M
niedhart lukas                  ,6081  ,SUI        ,M
vanini edouard                  ,6792  ,FRA        ,M
espiau martin                   ,5652  ,FRA        ,M
berney guillaume                ,5434  ,SUI        ,M
akhabadze sergey                ,7496  ,GEO        ,M
kaiser ben                      ,6678  ,USA        ,M
stretch max                     ,7754  ,CAN        ,M
rolseth noah                    ,8174  ,CAN        ,M
hess jakob                      ,7000  ,SUI        ,M
perini janne                    ,7481  ,SUI        ,M
fuchs manuel                    ,6869  ,SUI        ,M
mueller pascal                  ,7108  ,SUI        ,M
indrackova anezka               ,8269  ,CZE        ,F
toropchenova diana              ,8551  ,RUS        ,F
dejori daniela                  ,7522  ,ITA        ,F
abduhalilov ibraim              ,7125  ,KAZ        ,M
chizhov fedor                   ,7725  ,RUS        ,M
zografski martin                ,6658  ,BUL        ,M
beisvaag maria hurtado          ,6866  ,NOR        ,F
stare agata                     ,6477  ,SLO        ,F
karlengen silje                 ,6348  ,NOR        ,F
gawron joanna                   ,5484  ,POL        ,F
kvernmo pernille                ,7918  ,NOR        ,F
nowak jenny                     ,7674  ,GER        ,F
hirner lisa                     ,7933  ,AUT        ,F
mekhonoshin ivan                ,7117  ,RUS        ,M
supola robert                   ,7817  ,CZE        ,M
cirulis martins                 ,7338  ,LAT        ,M
stemberger matija               ,6895  ,SLO        ,M
yudin artem                     ,7160  ,RUS        ,M
baskakov ilya                   ,7471  ,RUS        ,M
sagbakken mats k.               ,7483  ,NOR        ,M
pavlenko oleg                   ,7910  ,RUS        ,M
vakhrushev aleksandr            ,8147  ,RUS        ,M
nikolaev konstantin             ,8145  ,RUS        ,M
maurer dillon                   ,6847  ,USA        ,M
knickerbocker spencer           ,6833  ,USA        ,M
bliss andrew                    ,5327  ,USA        ,M
hlyvka vladymyr                 ,2549  ,UKR        ,M
stupar gasper                   ,6293  ,SLO        ,M
schneider balthasar             ,2965  ,AUT        ,M
mueller roland                  ,4144  ,AUT        ,M
lackner daniel                  ,4706  ,AUT        ,M
urbas damian                    ,6164  ,POL        ,M
yurkevich aliaksandr            ,6676  ,BLR        ,M
sharabayev sergey               ,2908  ,KAZ        ,M
lunardi andrew                  ,5931  ,ITA        ,M
ravnik kristijan                ,6476  ,SLO        ,M
brunner niklas                  ,7225  ,GER        ,M
rzadkosz jan                    ,7396  ,POL        ,M
krzempek milosz                 ,8310  ,POL        ,M
brodsky josef                   ,7409  ,CZE        ,M
hermanson ivo-niklas            ,6950  ,EST        ,M
kagu markkus                    ,8264  ,EST        ,M
hofer-zauner michael            ,7914  ,AUT        ,M
pirnovar katarina               ,219835,SLO        ,F
vidmar ursa                     ,8292  ,SLO        ,F
kosir taja                      ,219869,SLO        ,F
bodlaj taja                     ,219662,SLO        ,F
white trent                     ,7525  ,USA        ,M
livreri landon                  ,7510  ,USA        ,M
polz matthew                    ,6855  ,CAN        ,M
tian zhandong                   ,1901  ,CHN        ,M
sun jianping                    ,5720  ,CHN        ,M
akchurin ruslan                 ,7902  ,RUS        ,M
tovkes nikita                   ,7874  ,RUS        ,M
anchugin stanislav              ,7123  ,KAZ        ,M
oztasyonar mustafa              ,6178  ,TUR        ,M
solcan mihai andrei             ,6989  ,ROU        ,M
kolodziej krystian              ,7133  ,POL        ,M
sheynov vasil                   ,7316  ,BUL        ,M
saito shota                     ,6813  ,JPN        ,M
kinoshita yuto                  ,7364  ,JPN        ,M
chindris maria daria            ,7548  ,ROU        ,F
akhmetvaliyeva dayana           ,7130  ,KAZ        ,F
stefan raluca iulia             ,7296  ,ROU        ,F
noskova glafira                 ,7724  ,RUS        ,F
immens mollie                   ,7733  ,USA        ,F
ichinohe kurumi                 ,8253  ,JPN        ,F
aikia julia                     ,219797,FIN        ,F
mesikova tamara                 ,8356  ,SVK        ,F
ptackova veronika               ,7215  ,CZE        ,F
kleven sander                   ,7280  ,NOR        ,M
myhr sverre aas                 ,7432  ,NOR        ,M
randen jakob tjaaland           ,7430  ,NOR        ,M
johannessen erik                ,7731  ,NOR        ,M
berg joergen                    ,7730  ,NOR        ,M
dahl oliver                     ,7488  ,NOR        ,M
tigin alexander                 ,7036  ,RUS        ,M
pittin alessandro               ,4728  ,ITA        ,M
braud francois                  ,4588  ,FRA        ,M
hu jingtao                      ,7843  ,CHN        ,M
white jack                      ,6958  ,FRA        ,M
hosoda shotaro                  ,5197  ,JPN        ,M
mueller sandra                  ,7379  ,GER        ,F
hubinger eva                    ,8139  ,AUT        ,F
hermanova petra                 ,7864  ,CZE        ,F
weinlichova simona              ,7798  ,CZE        ,F
maurus sophia                   ,7768  ,GER        ,F
jurosz jakub                    ,7243  ,POL        ,M
vyvial marcel                   ,7475  ,CZE        ,M
hoefler tucker                  ,7744  ,USA        ,M
ledger beckett                  ,7738  ,USA        ,M
sutiagina alena                 ,7039  ,RUS        ,F
wang meiting                    ,6648  ,CHN        ,F
karpenko anatoliy               ,5789  ,KAZ        ,M
aaraas jon                      ,4882  ,NOR        ,M
hautamaeki jussi                ,1990  ,FIN        ,M
lindstroem veli-matti           ,2903  ,FIN        ,M
reuschel sebastian              ,6864  ,GER        ,M
yip raven                       ,6852  ,CAN        ,F
morrice trevor                  ,4682  ,CAN        ,M
cooper mani                     ,8486  ,GBR        ,F
gobozova esmeralda              ,7376  ,GEO        ,F
zhou fangyu                     ,8317  ,CHN        ,F
kubota machiko                  ,7815  ,JPN        ,F
thurnbichler thomas             ,4715  ,AUT        ,M
ylipulli miika                  ,6238  ,FIN        ,M
hizar niko                      ,5620  ,SLO        ,M
mekhetka aliaksandr             ,6674  ,BLR        ,M
kopesbayev abylay               ,6142  ,KAZ        ,M
krajncan urh                    ,6108  ,SLO        ,M
schwinghammer alois             ,5913  ,GER        ,M
vitez robert                    ,6335  ,SLO        ,M
weiss daniel                    ,5502  ,GER        ,M
reiter christian                ,5437  ,AUT        ,M
bogataj jure                    ,4009  ,SLO        ,M
jaekle jonas                    ,219625,GER        ,M
sakano yukio                    ,2933  ,JPN        ,M
lappi arttu                     ,4547  ,FIN        ,M
li yang                         ,1900  ,CHN        ,M
malyjurek mateusz               ,7696  ,POL        ,M
maroe idar                      ,7042  ,NOR        ,M
staszel mateusz                 ,7699  ,POL        ,M
korody christian                ,7515  ,NOR        ,M
lauvsland karoline              ,8368  ,NOR        ,F
kugler aaron                    ,7828  ,AUT        ,M
morin jannik                    ,8086  ,AUT        ,M
alchikov maksim                 ,8073  ,RUS        ,M
miasnikov artem                 ,219605,RUS        ,M
bukin danila                    ,219741,RUS        ,M
takanashi kanta                 ,6153  ,JPN        ,M
nishikata shingo                ,6354  ,JPN        ,M
gonthier nicolas                ,5602  ,FRA        ,M
hettich tim                     ,8205  ,GER        ,M
braun finn                      ,7387  ,GER        ,M
begrand mael                    ,219763,FRA        ,M
hladnik matic                   ,7876  ,SLO        ,M
gay julien                      ,8117  ,FRA        ,M
milesi enzo                     ,8013  ,FRA        ,M
lipovsek rocnik miha            ,7647  ,SLO        ,M
wakolbinger lukas               ,7531  ,AUT        ,M
bakke edvart myrvang            ,7257  ,NOR        ,M
oevregaard jonas schoien        ,6250  ,NOR        ,M
hulloeen bendik                 ,7119  ,NOR        ,M
repellin ari                    ,8252  ,FRA        ,M
imhof mauro                     ,8071  ,SUI        ,M
nordman janne                   ,5528  ,FIN        ,M
swedberg jonathan               ,8416  ,SWE        ,M
roestad emilie serina           ,7919  ,NOR        ,F
mohlen jonna                    ,7700  ,SWE        ,F
dzhafarov zakhir                ,8215  ,RUS        ,M
koelle selina                   ,219642,GER        ,F
fickowski wiktor                ,7869  ,POL        ,M
wegrzynkiewicz wiktor           ,8096  ,POL        ,M
rys robert                      ,8124  ,POL        ,M
majerczyk stanislaw             ,7663  ,POL        ,M
kocher shane                    ,219648,USA        ,M
hauer nicole                    ,4931  ,GER        ,F
dostal stanislav                ,6726  ,CZE        ,M
julinek patrik                  ,7797  ,CZE        ,M
sablatura petr                  ,7319  ,CZE        ,M
slavik frantisek                ,7800  ,CZE        ,M
schaale max                     ,6738  ,GER        ,M
kroell florian                  ,8358  ,AUT        ,M
takahashi daito                 ,4503  ,JPN        ,M
bobrakova alina                 ,7037  ,RUS        ,F
alchikova liubov                ,6597  ,RUS        ,F
aleksandrova maria              ,6686  ,RUS        ,F
romaniuk liliia                 ,7417  ,UKR        ,F
riiber jarl magnus              ,6531  ,NOR        ,M
rogans cory                     ,7755  ,CAN        ,M
kaltenboeck bastian             ,4012  ,AUT        ,M
hagen ida marie                 ,8384  ,NOR        ,F
bickner kailey                  ,7916  ,USA        ,F
pylypchuk ivan                  ,8151  ,UKR        ,M
shubitidze george               ,6870  ,GEO        ,M
kozanashvili vazha              ,7357  ,GEO        ,M
hao yanjie                      ,8320  ,CHN        ,F
gundersrud adrian thon          ,8233  ,NOR        ,M
takehana daimatsu               ,7810  ,JPN        ,M
eggen ingrid                    ,7794  ,NOR        ,F
mathisen madeleine kvam         ,7792  ,NOR        ,F
white matthew                   ,7736  ,USA        ,M
loe jostein                     ,7081  ,NOR        ,M
saapunki joni                   ,7924  ,FIN        ,M
nekhoroshev ivan                ,7583  ,KAZ        ,M
solberg christian roeste        ,7484  ,NOR        ,M
guignard antoine                ,2061  ,SUI        ,M
gasienica lucas                 ,6783  ,USA        ,M
kaverinen tanja                 ,6768  ,FIN        ,F
negrebetskii vasilii            ,8394  ,RUS        ,M
kankenov anton                  ,5606  ,KAZ        ,M
lehenberger sven                ,6132  ,GER        ,M
mueller christoph               ,6280  ,GER        ,M
schmid alexander                ,5880  ,GER        ,M
pohle ludwig                    ,5902  ,GER        ,M
moeckel ron                     ,5877  ,GER        ,M
wilfert nils                    ,6112  ,GER        ,M
baumunk martin                  ,6650  ,GER        ,M
saapunki sami                   ,5795  ,FIN        ,M
sawara takashi                  ,4010  ,JPN        ,M
sasaki yuhei                    ,4849  ,JPN        ,M
tanaka shota                    ,4269  ,JPN        ,M
ahonen pasi                     ,2902  ,FIN        ,M
sakurai riko                    ,8164  ,JPN        ,F
osanai yoshihiko                ,4302  ,JPN        ,M
wang sijia                      ,8318  ,CHN        ,F
cieslar mateusz                 ,5159  ,POL        ,M
selbach lena                    ,6545  ,GER        ,F
schmidt debora                  ,6568  ,GER        ,F
thors alva                      ,8191  ,FIN        ,F
titov ruslan                    ,7086  ,RUS        ,M
moureaux faustin                ,8250  ,FRA        ,M
trunz felix                     ,8272  ,SUI        ,M
zykov dmitrii                   ,219766,RUS        ,M
hankova natalia                 ,7826  ,SVK        ,F
stankevica elizabete            ,7405  ,LAT        ,F
airisniemi markus               ,8133  ,FIN        ,M
miettinen juha                  ,3144  ,FIN        ,M
lee robert                      ,6946  ,EST        ,M
silvester jernej                ,6516  ,SLO        ,M
chava vasyl                     ,7436  ,UKR        ,M
puntel alice                    ,6691  ,ITA        ,F
bernoud tim                     ,6979  ,FRA        ,M
hutyra patryk                   ,7334  ,POL        ,M
laheurte maxime                 ,4915  ,FRA        ,M
lacroix sebastien               ,5735  ,FRA        ,M
fuhre jan                       ,5973  ,NOR        ,M
hast marius aas                 ,7775  ,NOR        ,M
fredriksen nicolai langseth     ,7776  ,NOR        ,M
konvalinka jiri                 ,7606  ,CZE        ,M
lund mari leinan                ,7887  ,NOR        ,F
maanum markus                   ,7431  ,NOR        ,M
hoegden harald deraas           ,7479  ,NOR        ,M
aasberg nikolai                 ,6733  ,NOR        ,M
khazeev ratmir                  ,7465  ,RUS        ,M
knutsson elina                  ,5513  ,SWE        ,F
heikkinen noora                 ,6605  ,FIN        ,F
kubena lukas                    ,7205  ,CZE        ,M
zelger erja                     ,6936  ,SUI        ,F
harsche katarzyna               ,8155  ,POL        ,F
bezuchova nina                  ,7827  ,SVK        ,F
gundersson matilda              ,7504  ,SWE        ,F
li jingwen                      ,8321  ,CHN        ,F
piho kail                       ,5647  ,EST        ,M
pekkala olli                    ,4909  ,FIN        ,M
smith tyler                     ,5230  ,USA        ,M
hoffman taylor                  ,3231  ,USA        ,M
voutilainen tatu                ,8195  ,FIN        ,M
holopainen valtteri             ,219760,FIN        ,M
merilainen eelis                ,219762,FIN        ,M
nakamura yuto                   ,8533  ,JPN        ,M
bruce mahni                     ,6853  ,CAN        ,F
moser marco                     ,6546  ,SUI        ,M
fuchs pascal                    ,6539  ,SUI        ,M
fischer bjoern                  ,6007  ,SUI        ,M
parpala joonas                  ,6770  ,FIN        ,M
pulkkinen niko                  ,6908  ,FIN        ,M
herola ilkka                    ,6017  ,FIN        ,M
nosal mojmir                    ,5674  ,SVK        ,M
pendziviater michal             ,7491  ,SVK        ,M
nara takumi                     ,6268  ,JPN        ,M
lyons john                      ,5099  ,USA        ,M
scharfenberg anna-fay           ,219810,GER        ,F
kovacic maja                    ,219732,SLO        ,F
loomis ben                      ,6817  ,USA        ,M
chervet emma                    ,8552  ,FRA        ,F
zepchi lilou                    ,8303  ,FRA        ,F
rougeron emma                   ,8235  ,FRA        ,F
durand poudret lexane           ,219657,FRA        ,F
brnot luka                      ,5022  ,SLO        ,M
meis vilma                      ,8193  ,FIN        ,F
miyajima ringo                  ,8255  ,JPN        ,F
selbekk mathilde aarva          ,219639,NOR        ,F
airiau gautier                  ,5318  ,FRA        ,M
jirotka david                   ,2992  ,CZE        ,M
kartau toenis                   ,5176  ,EST        ,M
froeier tobias                  ,8415  ,SWE        ,M
gaarder jens                    ,7189  ,NOR        ,M
didier oriane                   ,219805,FRA        ,F
mengin justine                  ,219804,FRA        ,F
prinoth lena                    ,7639  ,ITA        ,F
dollberg celina                 ,7054  ,GER        ,F
mandl rok                       ,5130  ,SLO        ,M
damjan anze                     ,4737  ,SLO        ,M
fartunov petar                  ,1946  ,BUL        ,M
bukowski jan                    ,7360  ,POL        ,M
galica jan                      ,8621  ,POL        ,M
kupczak szczepan                ,6423  ,POL        ,M
brenna leif christian           ,7480  ,NOR        ,M
pedersen peder naevestad        ,7485  ,NOR        ,M
zelger daniel                   ,6538  ,SUI        ,M
lafarge geoffrey                ,5734  ,FRA        ,M
morozov valerii                 ,7203  ,UKR        ,M
eggen rebecca                   ,7793  ,NOR        ,F
didier nicolas                  ,6712  ,FRA        ,M
jacquier romain                 ,5738  ,FRA        ,M
robert anthony                  ,6644  ,FRA        ,M
langer jonas                    ,6689  ,AUT        ,M
kleis felix                     ,5928  ,GER        ,M
martin nicolas                  ,5603  ,FRA        ,M
cailleau wilfried               ,5600  ,FRA        ,M
guy samuel                      ,5094  ,FRA        ,M
kosak jakob                     ,7353  ,GER        ,M
althaus felix                   ,7004  ,GER        ,M
braatane sondre vestoel         ,7051  ,NOR        ,M
peklaj matija                   ,7009  ,SLO        ,M
gobel cristian angelo           ,8626  ,ROU        ,M
mariotti domenico               ,7599  ,ITA        ,M
kauhanen mika                   ,5355  ,FIN        ,M
oustad mathilde                 ,8544  ,NOR        ,F
farkas pavel                    ,5392  ,CZE        ,M
kuban robert                    ,5694  ,CZE        ,M
jerabek rudolf                  ,6181  ,CZE        ,M
xing chenhui                    ,5721  ,CHN        ,M
crnko rok                       ,6475  ,SLO        ,M
piater maximilian               ,6666  ,GER        ,M
johansen marius fredrik         ,5989  ,NOR        ,M
merts emil                      ,6940  ,KAZ        ,M
park je-un                      ,6336  ,KOR        ,M
leischker dominik               ,6282  ,GER        ,M
heinz henrik                    ,6064  ,GER        ,M
rastad morten oegar             ,5975  ,NOR        ,M
denney andre                    ,6876  ,USA        ,M
swider stanislaw                ,4735  ,POL        ,M
oja mihkel                      ,6410  ,EST        ,M
lokaj szymon                    ,7446  ,POL        ,M
markin artem                    ,7427  ,RUS        ,M
lian kristian                   ,7082  ,NOR        ,M
markin victor                   ,7425  ,RUS        ,M
hatle filip                     ,7440  ,CZE        ,M
mizirev aleksandr               ,7424  ,RUS        ,M
rosko vladimir                  ,2174  ,SVK        ,M
malyshev valentin               ,7426  ,RUS        ,M
mentil clara                    ,8299  ,AUT        ,F
lobben thomas                   ,2939  ,NOR        ,M
gong shouyi                     ,8366  ,CHN        ,M
kutsevych artem                 ,7415  ,UKR        ,M
herasymiuk vladyslav            ,8623  ,UKR        ,M
zhang shuai                     ,8365  ,CHN        ,M
amble espen alexander johansen  ,8027  ,NOR        ,M
vikan simen                     ,8245  ,NOR        ,M
didier maela                    ,8236  ,FRA        ,F
santelj stas                    ,7646  ,SLO        ,M
kvaal bjoernar                  ,8487  ,NOR        ,M
cala sebastien                  ,6174  ,FRA        ,M
menz benedikt                   ,6667  ,GER        ,M
stroemhaug peder skjaeret       ,7516  ,NOR        ,M
neuhold jan                     ,7449  ,AUT        ,M
flotten erlend                  ,7429  ,NOR        ,M
leitner patrick                 ,6541  ,AUT        ,M
sturm micha                     ,219649,SUI        ,M
daniels zach                    ,6830  ,USA        ,M
yamamoto kenta                  ,4272  ,JPN        ,M
gornostaev roman                ,5472  ,RUS        ,M
rygl david                      ,8047  ,CZE        ,M
hughes blake                    ,4625  ,USA        ,M
hoffmann elyse                  ,6489  ,USA        ,F
ellis brenna                    ,2567  ,USA        ,F
wallace elizabeth               ,6815  ,USA        ,F
saifullina adel                 ,7046  ,RUS        ,F
buff simone                     ,7659  ,SUI        ,F
makhinia liia                   ,7883  ,RUS        ,F
suter charlotte                 ,7287  ,SUI        ,F
stephani pauline                ,7380  ,GER        ,F
virrantalo markus               ,6964  ,FIN        ,M
drinovec jaka                   ,219668,SLO        ,M
anisimov maksim                 ,4947  ,BLR        ,M
sindler denis                   ,5675  ,SVK        ,M
rosar urh                       ,8211  ,SLO        ,M
jekovec kristjan                ,8423  ,SLO        ,M
gerard antoine                  ,6713  ,FRA        ,M
camerota eric                   ,4755  ,USA        ,M
leetoja aldo                    ,5644  ,EST        ,M
demong bill                     ,5016  ,USA        ,M
graves willy                    ,4754  ,USA        ,M
kowal dawid                     ,4991  ,POL        ,M
kudriavtsev nikita              ,7901  ,RUS        ,M
kokrin vladislav                ,7900  ,RUS        ,M
berzina liga                    ,7423  ,LAT        ,F