"Move","Procent","Color","Type","Player","MoveColor"
"Brilliant",0.1,"W","bullet","Kacper","#1bada6"
"Best",32.7,"W","bullet","Kacper","#96bc4b"
"Excellent",19.6,"W","bullet","Kacper","#9bbf56"
"Good",12.1,"W","bullet","Kacper","#96af8b"
"Book",10.8,"W","bullet","Kacper","#a88865"
"Inaccuracy",10.6,"W","bullet","Kacper","#f7c045"
"Mistake",8,"W","bullet","Kacper","#e58f2a"
"Blunder",5.2,"W","bullet","Kacper","#ca3431"
"Missed Win",1.1,"W","bullet","Kacper","#dbac16"
"Brilliant",0.1,"B","bullet","Kacper","#1bada6"
"Best",31.5,"B","bullet","Kacper","#96bc4b"
"Excellent",19.3,"B","bullet","Kacper","#9bbf56"
"Good",12.6,"B","bullet","Kacper","#96af8b"
"Book",9,"B","bullet","Kacper","#a88865"
"Inaccuracy",11.7,"B","bullet","Kacper","#f7c045"
"Mistake",8.6,"B","bullet","Kacper","#e58f2a"
"Blunder",6.2,"B","bullet","Kacper","#ca3431"
"Missed Win",1,"B","bullet","Kacper","#dbac16"
"Brilliant",0.2,"W","blitz","Kacper","#1bada6"
"Best",34.7,"W","blitz","Kacper","#96bc4b"
"Excellent",16,"W","blitz","Kacper","#9bbf56"
"Good",12.6,"W","blitz","Kacper","#96af8b"
"Book",11.7,"W","blitz","Kacper","#a88865"
"Inaccuracy",10.3,"W","blitz","Kacper","#f7c045"
"Mistake",8.7,"W","blitz","Kacper","#e58f2a"
"Blunder",5,"W","blitz","Kacper","#ca3431"
"Missed Win",0.9,"W","blitz","Kacper","#dbac16"
"Brilliant",0.3,"B","blitz","Kacper","#1bada6"
"Best",35.4,"B","blitz","Kacper","#96bc4b"
"Excellent",20.6,"B","blitz","Kacper","#9bbf56"
"Good",12.7,"B","blitz","Kacper","#96af8b"
"Book",7.5,"B","blitz","Kacper","#a88865"
"Inaccuracy",10.5,"B","blitz","Kacper","#f7c045"
"Mistake",7.6,"B","blitz","Kacper","#e58f2a"
"Blunder",4.6,"B","blitz","Kacper","#ca3431"
"Missed Win",0.7,"B","blitz","Kacper","#dbac16"
"Brilliant",0.2,"W","rapid","Kacper","#1bada6"
"Best",33,"W","rapid","Kacper","#96bc4b"
"Excellent",17,"W","rapid","Kacper","#9bbf56"
"Good",14.4,"W","rapid","Kacper","#96af8b"
"Book",10,"W","rapid","Kacper","#a88865"
"Inaccuracy",9.3,"W","rapid","Kacper","#f7c045"
"Mistake",8.2,"W","rapid","Kacper","#e58f2a"
"Blunder",6.9,"W","rapid","Kacper","#ca3431"
"Missed Win",1,"W","rapid","Kacper","#dbac16"
"Brilliant",0,"B","rapid","Kacper","#1bada6"
"Best",36,"B","rapid","Kacper","#96bc4b"
"Excellent",17.6,"B","rapid","Kacper","#9bbf56"
"Good",11.1,"B","rapid","Kacper","#96af8b"
"Book",7.5,"B","rapid","Kacper","#a88865"
"Inaccuracy",10.8,"B","rapid","Kacper","#f7c045"
"Mistake",9.4,"B","rapid","Kacper","#e58f2a"
"Blunder",5.1,"B","rapid","Kacper","#ca3431"
"Missed Win",2.5,"B","rapid","Kacper","#dbac16"
"Brilliant",0.1,"WB","bullet","Kacper","#1bada6"
"Best",32.1,"WB","bullet","Kacper","#96bc4b"
"Excellent",19.4,"WB","bullet","Kacper","#9bbf56"
"Good",12.4,"WB","bullet","Kacper","#96af8b"
"Book",9.9,"WB","bullet","Kacper","#a88865"
"Inaccuracy",11.1,"WB","bullet","Kacper","#f7c045"
"Mistake",8.3,"WB","bullet","Kacper","#e58f2a"
"Blunder",5.7,"WB","bullet","Kacper","#ca3431"
"Missed Win",1.1,"WB","bullet","Kacper","#dbac16"
"Brilliant",0.2,"WB","blitz","Kacper","#1bada6"
"Best",35,"WB","blitz","Kacper","#96bc4b"
"Excellent",18.2,"WB","blitz","Kacper","#9bbf56"
"Good",12.6,"WB","blitz","Kacper","#96af8b"
"Book",9.7,"WB","blitz","Kacper","#a88865"
"Inaccuracy",10.4,"WB","blitz","Kacper","#f7c045"
"Mistake",8.2,"WB","blitz","Kacper","#e58f2a"
"Blunder",4.8,"WB","blitz","Kacper","#ca3431"
"Missed Win",0.8,"WB","blitz","Kacper","#dbac16"
"Brilliant",0.1,"WB","rapid","Kacper","#1bada6"
"Best",34.6,"WB","rapid","Kacper","#96bc4b"
"Excellent",17.3,"WB","rapid","Kacper","#9bbf56"
"Good",12.6,"WB","rapid","Kacper","#96af8b"
"Book",8.6,"WB","rapid","Kacper","#a88865"
"Inaccuracy",10.1,"WB","rapid","Kacper","#f7c045"
"Mistake",8.9,"WB","rapid","Kacper","#e58f2a"
"Blunder",5.9,"WB","rapid","Kacper","#ca3431"
"Missed Win",1.8,"WB","rapid","Kacper","#dbac16"
"Brilliant",0,"W","bullet","Krzysiek","#1bada6"
"Best",30,"W","bullet","Krzysiek","#96bc4b"
"Excellent",19.9,"W","bullet","Krzysiek","#9bbf56"
"Good",12.5,"W","bullet","Krzysiek","#96af8b"
"Book",10.4,"W","bullet","Krzysiek","#a88865"
"Inaccuracy",10.4,"W","bullet","Krzysiek","#f7c045"
"Mistake",8.6,"W","bullet","Krzysiek","#e58f2a"
"Blunder",6.5,"W","bullet","Krzysiek","#ca3431"
"Missed Win",1.6,"W","bullet","Krzysiek","#dbac16"
"Brilliant",0.1,"B","bullet","Krzysiek","#1bada6"
"Best",30.7,"B","bullet","Krzysiek","#96bc4b"
"Excellent",20.5,"B","bullet","Krzysiek","#9bbf56"
"Good",12.7,"B","bullet","Krzysiek","#96af8b"
"Book",9.2,"B","bullet","Krzysiek","#a88865"
"Inaccuracy",10.1,"B","bullet","Krzysiek","#f7c045"
"Mistake",8.5,"B","bullet","Krzysiek","#e58f2a"
"Blunder",6.8,"B","bullet","Krzysiek","#ca3431"
"Missed Win",1.5,"B","bullet","Krzysiek","#dbac16"
"Brilliant",0.1,"W","blitz","Krzysiek","#1bada6"
"Best",32.9,"W","blitz","Krzysiek","#96bc4b"
"Excellent",19.1,"W","blitz","Krzysiek","#9bbf56"
"Good",11.9,"W","blitz","Krzysiek","#96af8b"
"Book",10.3,"W","blitz","Krzysiek","#a88865"
"Inaccuracy",10.4,"W","blitz","Krzysiek","#f7c045"
"Mistake",8.1,"W","blitz","Krzysiek","#e58f2a"
"Blunder",5.8,"W","blitz","Krzysiek","#ca3431"
"Missed Win",1.4,"W","blitz","Krzysiek","#dbac16"
"Brilliant",0.1,"B","blitz","Krzysiek","#1bada6"
"Best",33.3,"B","blitz","Krzysiek","#96bc4b"
"Excellent",18.3,"B","blitz","Krzysiek","#9bbf56"
"Good",12.7,"B","blitz","Krzysiek","#96af8b"
"Book",8.5,"B","blitz","Krzysiek","#a88865"
"Inaccuracy",10.6,"B","blitz","Krzysiek","#f7c045"
"Mistake",8.3,"B","blitz","Krzysiek","#e58f2a"
"Blunder",6.6,"B","blitz","Krzysiek","#ca3431"
"Missed Win",1.5,"B","blitz","Krzysiek","#dbac16"
"Brilliant",0.1,"W","rapid","Krzysiek","#1bada6"
"Best",32.3,"W","rapid","Krzysiek","#96bc4b"
"Excellent",17.4,"W","rapid","Krzysiek","#9bbf56"
"Good",11.3,"W","rapid","Krzysiek","#96af8b"
"Book",11.2,"W","rapid","Krzysiek","#a88865"
"Inaccuracy",11,"W","rapid","Krzysiek","#f7c045"
"Mistake",8.7,"W","rapid","Krzysiek","#e58f2a"
"Blunder",6.3,"W","rapid","Krzysiek","#ca3431"
"Missed Win",1.7,"W","rapid","Krzysiek","#dbac16"
"Brilliant",0.1,"B","rapid","Krzysiek","#1bada6"
"Best",34.3,"B","rapid","Krzysiek","#96bc4b"
"Excellent",19.8,"B","rapid","Krzysiek","#9bbf56"
"Good",10.7,"B","rapid","Krzysiek","#96af8b"
"Book",10.4,"B","rapid","Krzysiek","#a88865"
"Inaccuracy",8.7,"B","rapid","Krzysiek","#f7c045"
"Mistake",8.5,"B","rapid","Krzysiek","#e58f2a"
"Blunder",6.3,"B","rapid","Krzysiek","#ca3431"
"Missed Win",1.3,"B","rapid","Krzysiek","#dbac16"
"Brilliant",0.1,"WB","bullet","Krzysiek","#1bada6"
"Best",30.4,"WB","bullet","Krzysiek","#96bc4b"
"Excellent",20.2,"WB","bullet","Krzysiek","#9bbf56"
"Good",12.6,"WB","bullet","Krzysiek","#96af8b"
"Book",9.8,"WB","bullet","Krzysiek","#a88865"
"Inaccuracy",10.3,"WB","bullet","Krzysiek","#f7c045"
"Mistake",8.6,"WB","bullet","Krzysiek","#e58f2a"
"Blunder",6.6,"WB","bullet","Krzysiek","#ca3431"
"Missed Win",1.5,"WB","bullet","Krzysiek","#dbac16"
"Brilliant",0.1,"WB","blitz","Krzysiek","#1bada6"
"Best",33.1,"WB","blitz","Krzysiek","#96bc4b"
"Excellent",18.7,"WB","blitz","Krzysiek","#9bbf56"
"Good",12.3,"WB","blitz","Krzysiek","#96af8b"
"Book",9.4,"WB","blitz","Krzysiek","#a88865"
"Inaccuracy",10.5,"WB","blitz","Krzysiek","#f7c045"
"Mistake",8.2,"WB","blitz","Krzysiek","#e58f2a"
"Blunder",6.2,"WB","blitz","Krzysiek","#ca3431"
"Missed Win",1.4,"WB","blitz","Krzysiek","#dbac16"
"Brilliant",0.1,"WB","rapid","Krzysiek","#1bada6"
"Best",33.3,"WB","rapid","Krzysiek","#96bc4b"
"Excellent",18.6,"WB","rapid","Krzysiek","#9bbf56"
"Good",11,"WB","rapid","Krzysiek","#96af8b"
"Book",10.8,"WB","rapid","Krzysiek","#a88865"
"Inaccuracy",9.8,"WB","rapid","Krzysiek","#f7c045"
"Mistake",8.6,"WB","rapid","Krzysiek","#e58f2a"
"Blunder",6.3,"WB","rapid","Krzysiek","#ca3431"
"Missed Win",1.5,"WB","rapid","Krzysiek","#dbac16"
